epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
44,947.316,1.19006,2.63065,1.75569,0.3502,0.47957,0.55022,0.34039,1.44935,2.95564,2.48696,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047,0.00191414,0.000638047
45,967.837,1.22578,2.60813,1.83724,0.38679,0.55101,0.56397,0.34441,1.43332,2.91103,2.46158,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048,0.00188115,0.000627048
46,988.047,1.17426,2.5304,1.72312,0.78527,0.39245,0.5693,0.35107,1.46007,2.93783,2.49017,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049,0.00184815,0.000616049
47,1011.66,1.22151,2.6734,1.77837,0.76398,0.37995,0.56124,0.33526,1.47648,2.88686,2.52069,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051,0.00181515,0.000605051
48,1032.07,1.19397,2.54193,1.76949,0.75449,0.38227,0.56596,0.35527,1.45641,2.86335,2.48343,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052,0.00178216,0.000594052
49,1053.74,1.18315,2.55555,1.74969,0.85766,0.36745,0.55945,0.35402,1.44952,2.85017,2.50444,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053,0.00174916,0.000583053
50,1074.3,1.15055,2.6125,1.75077,0.81704,0.36745,0.56958,0.35464,1.48277,2.8164,2.57121,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054,0.00171616,0.000572054
51,1097.96,1.1461,2.56863,1.72213,0.33917,0.56964,0.56197,0.34663,1.44219,2.7513,2.51333,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055,0.00168316,0.000561055
52,1120.34,1.13306,2.49547,1.68035,0.60591,0.39423,0.55616,0.35518,1.40989,2.73982,2.45814,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056,0.00165017,0.000550056
53,1140.3,1.14969,2.42926,1.73798,0.5518,0.43168,0.58092,0.36943,1.38656,2.73603,2.41978,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057,0.00161717,0.000539057
54,1160.1,1.08912,2.39289,1.66623,0.51112,0.4478,0.59526,0.37682,1.38893,2.70299,2.41895,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058,0.00158417,0.000528058
55,1179.94,1.14153,2.43075,1.69739,0.39422,0.63762,0.61395,0.38345,1.39778,2.6864,2.41987,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059,0.00155118,0.000517059
56,1198.82,1.16309,2.45636,1.72895,0.4115,0.69212,0.61141,0.38366,1.37257,2.72012,2.38942,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606,0.00151818,0.00050606
57,1216.61,1.18457,2.40931,1.71488,0.44948,0.66405,0.62334,0.38874,1.36254,2.67457,2.37488,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062,0.00148518,0.000495062
58,1235.52,1.16159,2.45977,1.70787,0.49329,0.66964,0.63272,0.39995,1.34375,2.69509,2.36206,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063,0.00145219,0.000484063
59,1257.85,1.1346,2.35504,1.65442,0.51114,0.6949,0.63764,0.39858,1.34528,2.68667,2.36022,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064,0.00141919,0.000473064
60,1275.92,1.13643,2.32017,1.66854,0.49376,0.6906,0.66022,0.4127,1.34631,2.67634,2.36661,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065,0.00138619,0.000462065
61,1294.41,1.16946,2.34137,1.67157,0.61876,0.5831,0.68306,0.42505,1.32774,2.70709,2.36439,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066,0.0013532,0.000451066
62,1312.59,1.11859,2.27474,1.66764,0.66126,0.62594,0.69495,0.43497,1.31295,2.68807,2.33329,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067,0.0013202,0.000440067
63,1329.76,1.07739,2.30998,1.59203,0.6288,0.66959,0.70478,0.43747,1.32319,2.70617,2.33765,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068,0.0012872,0.000429068
64,1347.08,1.13191,2.25317,1.68841,0.64952,0.63113,0.72164,0.44695,1.34074,2.72444,2.35004,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069,0.00125421,0.000418069
65,1366.15,1.10882,2.23362,1.66539,0.67211,0.75491,0.7234,0.44525,1.34843,2.63841,2.35486,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707,0.00122121,0.00040707
66,1385.38,1.16618,2.26005,1.72236,0.65939,0.70832,0.7219,0.44212,1.38503,2.64538,2.40487,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071,0.00118821,0.000396071
67,1404.15,1.1294,2.27624,1.69707,0.67712,0.76475,0.76579,0.45484,1.4068,2.64962,2.42418,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073,0.00115522,0.000385073
68,1423.51,1.11162,2.18681,1.69176,0.7053,0.75883,0.77333,0.44528,1.43471,2.63515,2.46203,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074,0.00112222,0.000374074
69,1444.97,1.10722,2.24703,1.69943,0.72259,0.75222,0.78789,0.45906,1.44124,2.66284,2.47351,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075,0.00108922,0.000363075
70,1463.49,1.12394,2.13925,1.6797,0.72437,0.75838,0.78853,0.46116,1.44333,2.63716,2.44433,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076,0.00105623,0.000352076
71,1482.57,1.11124,2.21784,1.68518,0.71167,0.76859,0.79745,0.47529,1.44413,2.63612,2.42572,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077,0.00102323,0.000341077
72,1500.51,1.0075,2.18239,1.62067,0.74013,0.76335,0.78325,0.46771,1.43566,2.63313,2.41484,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078,0.000990234,0.000330078
73,1519.6,1.12285,2.177,1.71408,0.72977,0.75318,0.77689,0.46042,1.43832,2.69263,2.40209,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079,0.000957238,0.000319079
74,1538.32,1.01119,2.02761,1.60459,0.7536,0.75197,0.775,0.46287,1.43532,2.58221,2.3966,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808,0.000924241,0.00030808
75,1557.17,1.13685,2.14008,1.70483,0.82176,0.72803,0.79286,0.48801,1.39691,2.5627,2.34817,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081,0.000891244,0.000297081
76,1575.39,1.03687,2.08517,1.58648,0.77305,0.75755,0.78762,0.49697,1.37365,2.53744,2.31311,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083,0.000858247,0.000286083
77,1593.56,1.03713,2.04766,1.59271,0.78062,0.75447,0.79394,0.50473,1.36059,2.51315,2.30155,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084,0.000825251,0.000275084
78,1611.68,1.15525,2.16998,1.71082,0.77339,0.73072,0.79088,0.49921,1.3263,2.50785,2.26129,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085,0.000792254,0.000264085
79,1631.35,1.0796,2.09668,1.62035,0.79963,0.70882,0.79247,0.4934,1.33767,2.50493,2.28542,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086,0.000759257,0.000253086
